sample_id,stratum,tGJS,HK2,BCL2L1,TSPO,HK2_norm,BCL2L1_norm,TSPO_norm,CD8A,IFNG,CXCL10,GZMB,PRF1,HAVCR2,LAG3,PDCD1,TIGIT,CGAS,STING1,ENPP1,TREX1,CD274,immune_proxy,exhaustion_score,ee_ratio,acute_sting,chronic_sting,sting_ratio
TCGA-3L-AA1B-01,MSS_TP53wt,0.3618243243243243,2247.58,4374.27,2396.03,0.32432432432432434,0.5929054054054054,0.18074324324324326,48.3559,0.4836,25.1451,117.505,42.5532,86.0735,38.6847,19.3424,77.3694,57.5435,825.919,114.12,240.546,11.1219,-0.4648216550257153,-0.18640538230673376,-0.23787480330920457,-0.5354241840695538,-0.2664313274577263,-0.26899285661182754
TCGA-4N-A93T-01,MSS_TP53mut,0.5287162162162162,3013.55,4689.89,3094.34,0.5793918918918919,0.6570945945945946,0.3327702702702703,42.5738,0.0,23.2221,7.2569,15.9652,17.9003,29.0276,12.0948,16.449,63.3769,760.523,399.129,479.937,3.8703,-0.5589437813659932,-0.6007692813958818,0.03109169353875929,-0.5299034807100919,-0.4364005521335699,-0.09350292857652198
TCGA-4T-AA8H-01,MSS_TP53wt,0.6616554054054055,10913.5,2005.48,5479.8,0.9966216216216216,0.06587837837837837,0.8108108108108109,24.1272,0.0,6.5801,11.698,22.665,10.9669,43.8677,4.3868,11.698,3.6556,1252.42,64.3392,353.88,7.3113,-0.5770955891835593,-0.6418399637587899,0.0822001160297503,-0.5502202072868673,-0.38709277329499625,-0.16312743399187102
TCGA-5M-AAT4-01,MSS_TP53mut,0.5226351351351352,3901.46,4051.2,2436.75,0.7567567567567568,0.535472972972973,0.19763513513513514,52.0654,1.2909,30.1205,9.8967,27.969,28.3993,19.7935,6.4544,3.012,43.4596,414.372,127.797,142.384,7.7453,-0.5145387896132159,-0.6864909702964449,0.17067478278881243,-0.5420088866593336,-0.33771208400001557,-0.204296802659318
TCGA-5M-AAT5-01,MSS_TP53mut,0.48614864864864865,3563.69,3949.49,2385.02,0.6959459459459459,0.518581081081081,0.17398648648648649,23.7414,1.9785,55.3967,30.1714,20.2791,25.7199,16.8168,8.903,5.9354,94.9657,417.453,60.3428,191.633,19.2899,-0.5199197071673701,-0.6717207970244228,0.19095461504254124,-0.5322159655316314,-0.17506777589092593,-0.3571481896407055
TCGA-5M-AAT6-01,MSIH_TP53wt,0.3532094594594595,2317.82,2804.1,3615.2,0.33952702702702703,0.23648648648648649,0.48817567567567566,395.71,22.9683,956.136,289.4,291.369,505.302,297.931,91.873,148.309,231.651,2161.64,204.746,324.463,108.279,0.7772802467869773,1.6001213200053626,-0.929767524788709,2.3926844860107157,0.2689665853643426,2.123717900646373
TCGA-5M-AATA-01,MSS_TP53mut,0.28716216216216217,1831.41,4042.94,2350.7,0.19594594594594594,0.5320945945945946,0.16385135135135134,99.8012,5.9642,154.672,73.161,61.2326,67.5944,52.4851,28.6282,19.4831,19.4831,377.734,82.7038,178.27,9.9404,-0.29166116212132503,-0.38574652179179125,0.10851902533492541,1.0434152712806666,-0.14127393441612127,1.184689205696788
TCGA-5M-AATE-01,MSS_TP53mut,0.4927364864864865,2384.83,5729.37,3146.83,0.3614864864864865,0.8158783783783784,0.34459459459459457,47.3672,0.0,26.0863,21.9674,34.324,46.6807,8.9243,8.9243,10.9837,180.544,347.359,147.593,234.358,6.1783,-0.5349819324108795,-0.6331235451778618,0.09342542175760304,-0.5038140062886821,-0.4178856496274007,-0.0859283566612814
TCGA-A6-2671-01,MSS_TP53mut,0.7447635135135134,3583.4628,8157.2082,4094.0967,0.6976351351351351,0.9662162162162162,0.5861486486486487,63.7535,1.8354,832.1756,86.8172,128.6715,193.6875,89.6972,22.4979,13.885,20.535,789.6198,60.8595,657.9928,23.6787,-0.22562353202753438,-0.17692599169497425,-0.1607997492997753,0.038425536922480866,-0.13646277187271155,0.1748883087951924
TCGA-A6-2672-01,MSIH_TP53wt,0.6814189189189189,4491.4128,3067.5417,6133.4411,0.8192567567567568,0.3108108108108108,0.8682432432432432,591.6061,14.33,2168.5234,494.4789,606.268,480.7607,303.7441,153.8521,98.4392,282.477,3706.0088,25.4956,455.8065,105.1264,1.3682820470563997,1.6722221982267316,-0.8083658013263921,1.554218366173708,1.4417248315516127,0.11249353462209521
TCGA-A6-2674-01,MSIH_TP53mut,0.3680743243243243,1638.5435,3482.7587,4362.4322,0.13851351351351351,0.3952702702702703,0.6469594594594594,145.8942,0.5898,380.4068,120.5021,335.9184,528.1459,129.4032,41.1787,47.5833,164.2327,560.9105,326.8919,215.6172,60.5373,-0.12680484747684376,0.6439752591451972,-0.8117747658332325,0.03951024529760373,0.6040835912364846,-0.5645733459388809
TCGA-A6-2675-01,MSS_TP53mut,0.49983108108108104,2462.04,6976.67,2542.95,0.3918918918918919,0.9206081081081081,0.22297297297297297,77.1409,2.1578,527.04,76.062,175.32,360.89,63.1153,32.9063,67.9703,92.7849,1294.13,428.321,324.801,39.3796,-0.25116672631369447,0.30810446596022756,-0.606266436494822,-0.2085479801493834,-0.07414093631596681,-0.13440704383341656
TCGA-A6-2676-01,MSIH_TP53wt,0.5047297297297297,3163.653,1492.3425,5609.7001,0.6233108108108109,0.016891891891891893,0.8344594594594594,213.2163,15.6356,2987.5216,386.2098,822.9159,492.0079,258.6816,94.5614,49.4706,485.5925,2009.7027,21.0959,630.7338,63.2779,1.1893672215436775,1.1044497911658762,-0.11972816547541598,1.86815495578118,-0.054060560376117076,1.9222155161572971
TCGA-A6-2677-01,MSS_TP53wt,0.28395270270270273,1924.9432,2938.0234,3230.7565,0.22972972972972974,0.2702702702702703,0.36993243243243246,44.0511,0.1966,59.419,641.0805,30.0712,54.2989,5.2533,4.4249,7.204,167.043,307.8187,327.4587,213.5053,7.5278,-0.16842045777888784,-0.6665924003077937,0.7323192354578067,-0.5398928147146755,-0.49627327435607316,-0.04361954035860238
TCGA-A6-2678-01,MSS_TP53wt,0.4934121621621622,3343.7862,2948.942,3721.8102,0.6469594594594594,0.2719594594594595,0.5101351351351351,195.0817,2.831,2777.9872,131.7867,165.2875,317.8191,71.6025,20.4973,57.368,158.9909,694.1702,42.9598,209.8612,36.3677,0.395442580205695,0.1518469070420579,-0.38289874029493187,1.1285379037211332,-0.36125101912994456,1.4897889228510777
TCGA-A6-2679-01,MSS_TP53wt,0.6609797297297297,2417.3162,5049.5488,12101.5011,0.3716216216216216,0.7162162162162162,0.9915540540540541,113.9977,-0.2946,82.2442,48.4717,243.6107,30.1406,30.5714,152.7995,10.8651,90.5012,951.3843,134.1182,1064.096,-0.1123,-0.33154372394203835,0.09710950157833848,-0.44188878989079344,0.969887165196352,-0.15703107958639423,1.1269182447827462
