stratum,stratum_label,marker,spearman_rho,p_raw,p_bonferroni,n,significant_bonf,significant_raw
MSIH_TP53wt,MSI-H + TP53-wt,exhaustion_score,-0.0299,0.8104880306866808,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,ee_ratio,0.131,0.2907488899043903,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,HAVCR2,-0.0796,0.5222008923082847,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,LAG3,0.0186,0.881513441532906,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,PDCD1,0.1471,0.23487964956267884,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,TIGIT,-0.003,0.9809497650857936,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,ENPP1,0.0479,0.700240361808471,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,TREX1,0.1633,0.18680425538676804,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,CD274,0.1669,0.17700494156378396,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,CGAS,0.3204,0.008205776539689973,0.16411553079379945,67,False,True
MSIH_TP53wt,MSI-H + TP53-wt,STING1,0.1395,0.2602913170004804,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,acute_sting,0.0049,0.9686807404831488,1.0,67,False,False
MSIH_TP53wt,MSI-H + TP53-wt,chronic_sting,0.3522,0.0034651848977673076,0.06930369795534615,67,False,True
MSIH_TP53wt,MSI-H + TP53-wt,sting_ratio,-0.2501,0.04126305812482289,0.8252611624964579,67,False,True
MSIH_TP53mut,MSI-H + TP53-mut,immune_proxy,-0.1533,0.43621458328291596,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CD8A,-0.0334,0.8660602737371457,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,IFNG,0.092,0.6416600274082447,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CXCL10,-0.075,0.704513791666417,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,GZMB,0.0224,0.9097550550840692,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,PRF1,-0.1182,0.5490517704141913,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,exhaustion_score,-0.3853,0.042869558211389124,0.8573911642277825,28,False,True
MSIH_TP53mut,MSI-H + TP53-mut,ee_ratio,0.5829,0.001132667126188635,0.0226533425237727,28,True,True
MSIH_TP53mut,MSI-H + TP53-mut,HAVCR2,-0.4784,0.010023376837100117,0.20046753674200235,28,False,True
MSIH_TP53mut,MSI-H + TP53-mut,LAG3,-0.2731,0.15964828536673217,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,PDCD1,-0.1221,0.536084917236463,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,TIGIT,-0.1461,0.45805835834299147,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,ENPP1,-0.2945,0.1282314735290362,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,TREX1,0.3716,0.051497981177966154,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CD274,-0.2386,0.22134107055192595,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,CGAS,-0.249,0.20125852984110953,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,STING1,-0.116,0.5565261502249992,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,acute_sting,-0.3038,0.11605529821938772,1.0,28,False,False
MSIH_TP53mut,MSI-H + TP53-mut,chronic_sting,-0.3903,0.04006113976715791,0.8012227953431582,28,False,True
MSIH_TP53mut,MSI-H + TP53-mut,sting_ratio,0.1056,0.5926515354824006,1.0,28,False,False
